taxi_id_a,taxi_id_b,first_met_at
20000178,20000495,2013-07-01 11:44:06
20000247,20000521,2013-07-01 11:53:38
20000330,20000518,2013-07-01 11:55:15
20000247,20000578,2013-07-01 11:56:06
20000504,20000578,2013-07-01 11:56:21
20000651,20000686,2013-07-01 11:58:01
20000074,20000392,2013-07-01 11:59:12
20000397,20000561,2013-07-01 12:01:04
20000113,20000279,2013-07-01 12:26:40
20000126,20000215,2013-07-01 12:28:07
20000198,20000207,2013-07-01 12:35:51
20000279,20000603,2013-07-01 12:39:40
20000027,20000138,2013-07-01 12:41:45
20000309,20000494,2013-07-01 12:57:43
20000142,20000190,2013-07-01 12:57:48
20000040,20000513,2013-07-01 12:59:34
20000257,20000314,2013-07-01 13:03:12
20000331,20000486,2013-07-01 13:09:40
20000598,20000658,2013-07-01 13:49:28
20000041,20000109,2013-07-01 14:00:16
20000140,20000697,2013-07-01 14:06:01
20000144,20000320,2013-07-01 14:06:32
20000100,20000206,2013-07-01 14:10:35
20000027,20000346,2013-07-01 14:33:46
20000314,20000395,2013-07-01 14:39:11
20000448,20000561,2013-07-01 14:54:12
20000007,20000273,2013-07-01 14:57:26
20000076,20000308,2013-07-01 15:08:22
20000008,20000246,2013-07-01 15:10:10
20000347,20000388,2013-07-01 15:11:02
20000601,20000608,2013-07-01 15:20:10
20000562,20000603,2013-07-01 15:22:07
20000114,20000651,2013-07-01 15:27:44
20000131,20000159,2013-07-01 15:39:07
20000280,20000508,2013-07-01 15:39:48
20000123,20000513,2013-07-01 15:44:52
20000166,20000377,2013-07-01 15:47:59
20000509,20000539,2013-07-01 15:48:58
20000334,20000576,2013-07-01 15:59:29
20000001,20000343,2013-07-01 16:02:59
20000334,20000578,2013-07-01 16:05:26
20000177,20000327,2013-07-01 16:17:06
20000243,20000665,2013-07-01 16:33:35
20000351,20000388,2013-07-01 16:52:13
20000351,20000671,2013-07-01 16:58:02
20000027,20000640,2013-07-01 17:02:02
20000249,20000468,2013-07-01 17:02:03
20000040,20000451,2013-07-01 17:04:46
20000307,20000680,2013-07-01 17:17:12
20000455,20000518,2013-07-01 17:17:27
20000179,20000514,2013-07-01 17:25:53
20000338,20000667,2013-07-01 17:33:08
20000172,20000360,2013-07-01 17:35:28
20000093,20000360,2013-07-01 17:41:00
20000387,20000397,2013-07-01 17:45:37
20000144,20000561,2013-07-01 17:47:15
20000334,20000387,2013-07-01 17:54:07
20000140,20000662,2013-07-01 17:55:48
20000372,20000667,2013-07-01 18:06:26
20000297,20000557,2013-07-01 18:30:25
20000372,20000598,2013-07-01 19:10:04
20000123,20000612,2013-07-01 19:24:48
20000123,20000256,2013-07-01 19:31:46
20000206,20000653,2013-07-01 19:40:01
20000577,20000900,2013-07-01 19:41:57
20000297,20000492,2013-07-01 20:47:18
20000541,20000625,2013-07-01 21:02:22
20000310,20000483,2013-07-01 21:05:12
20000089,20000620,2013-07-01 21:40:00
20000108,20000483,2013-07-01 21:42:45
20000111,20000334,2013-07-01 22:01:30
20000233,20000446,2013-07-01 22:13:11
20000338,20000662,2013-07-01 22:27:11
20000101,20000483,2013-07-01 22:29:50
20000476,20000569,2013-07-01 23:22:19
20000363,20000600,2013-07-02 00:20:47
20000157,20000488,2013-07-02 01:47:12
20000157,20000167,2013-07-02 01:50:24
20000307,20000450,2013-07-02 03:40:49
20000171,20000273,2013-07-02 03:46:41
20000337,20000653,2013-07-02 03:57:21
20000252,20000338,2013-07-02 04:10:27
20000007,20000633,2013-07-02 04:15:46
20000395,20000678,2013-07-02 04:25:13
20000351,20000904,2013-07-02 05:25:03
20000233,20000626,2013-07-02 06:35:19
20000432,20000486,2013-07-02 06:54:14
20000005,20000671,2013-07-02 07:21:25
20000166,20000195,2013-07-02 07:29:24
20000160,20000542,2013-07-02 07:49:45
20000160,20000589,2013-07-02 07:50:32
20000386,20000658,2013-07-02 07:51:54
20000281,20000589,2013-07-02 07:53:05
20000450,20000595,2013-07-02 08:02:43
20000589,20000608,2013-07-02 08:04:35
20000152,20000403,2013-07-02 08:07:21
20000387,20000424,2013-07-02 08:08:28
20000100,20000114,2013-07-02 08:08:29
20000480,20000492,2013-07-02 08:09:08
20000454,20000496,2013-07-02 08:24:38
20000258,20000539,2013-07-02 08:45:29
20000540,20000572,2013-07-02 08:45:40
20000026,20000594,2013-07-02 08:57:53
20000006,20000658,2013-07-02 08:59:47
20000160,20000460,2013-07-02 09:00:25
20000026,20000674,2013-07-02 09:00:38
20000254,20000612,2013-07-02 09:00:43
20000334,20000678,2013-07-02 09:01:28
20000001,20000045,2013-07-02 09:01:33
20000334,20000386,2013-07-02 09:01:53
20000057,20000235,2013-07-02 09:02:32
20000285,20000429,2013-07-02 09:03:04
20000006,20000094,2013-07-02 09:09:14
20000261,20000662,2013-07-02 09:10:01
20000230,20000653,2013-07-02 09:11:22
20000163,20000310,2013-07-02 09:20:07
20000018,20000472,2013-07-02 09:24:55
20000487,20000540,2013-07-02 09:37:24
20000101,20000540,2013-07-02 09:38:54
20000249,20000360,2013-07-02 09:40:15
20000319,20000361,2013-07-02 09:42:09
20000464,20000617,2013-07-02 09:42:32
20000328,20000680,2013-07-02 09:44:52
20000104,20000255,2013-07-02 09:52:54
20000192,20000586,2013-07-02 09:53:42
20000031,20000137,2013-07-02 09:55:34
20000198,20000308,2013-07-02 09:59:01
20000327,20000658,2013-07-02 10:02:04
20000031,20000356,2013-07-02 10:03:49
20000159,20000632,2013-07-02 10:06:40
20000615,20000623,2013-07-02 10:08:38
20000419,20000900,2013-07-02 10:25:15
20000328,20000463,2013-07-02 10:28:20
20000036,20000480,2013-07-02 10:30:31
20000216,20000562,2013-07-02 10:35:33
20000161,20000320,2013-07-02 10:39:50
20000022,20000542,2013-07-02 10:40:44
20000050,20000619,2013-07-02 11:25:19
20000113,20000598,2013-07-02 11:35:22
20000215,20000557,2013-07-02 11:36:45
20000216,20000542,2013-07-02 11:42:17
20000216,20000680,2013-07-02 11:42:19
20000310,20000502,2013-07-02 11:42:38
20000608,20000680,2013-07-02 11:44:38
20000235,20000463,2013-07-02 11:52:07
20000472,20000483,2013-07-02 11:59:41
20000171,20000576,2013-07-02 12:02:34
20000038,20000199,2013-07-02 12:08:42
20000032,20000046,2013-07-02 12:11:30
20000217,20000619,2013-07-02 12:13:49
20000084,20000217,2013-07-02 12:14:33
20000114,20000320,2013-07-02 12:19:06
20000085,20000432,2013-07-02 12:31:40
20000294,20000361,2013-07-02 12:31:41
20000361,20000692,2013-07-02 12:32:58
20000180,20000361,2013-07-02 12:48:17
20000346,20000653,2013-07-02 12:50:30
20000346,20000596,2013-07-02 12:52:14
20000180,20000325,2013-07-02 13:16:18
20000126,20000408,2013-07-02 13:21:41
20000158,20000331,2013-07-02 13:23:04
20000136,20000903,2013-07-02 13:23:27
20000344,20000688,2013-07-02 13:30:28
20000163,20000409,2013-07-02 13:35:37
20000008,20000572,2013-07-02 13:37:07
20000524,20000569,2013-07-02 13:43:13
20000160,20000345,2013-07-02 13:43:43
20000196,20000676,2013-07-02 13:47:37
20000123,20000353,2013-07-02 13:50:48
20000472,20000623,2013-07-02 13:51:36
20000569,20000578,2013-07-02 13:59:57
20000440,20000682,2013-07-02 14:00:10
20000273,20000460,2013-07-02 14:00:17
20000041,20000215,2013-07-02 14:07:09
20000588,20000607,2013-07-02 14:14:23
20000347,20000904,2013-07-02 14:27:11
20000476,20000903,2013-07-02 14:29:02
20000030,20000328,2013-07-02 14:54:38
20000516,20000619,2013-07-02 14:59:07
20000430,20000509,2013-07-02 15:13:12
20000294,20000662,2013-07-02 15:16:26
20000015,20000343,2013-07-02 15:42:25
20000184,20000616,2013-07-02 16:07:40
20000111,20000460,2013-07-02 16:08:17
20000268,20000373,2013-07-02 16:08:27
20000006,20000460,2013-07-02 16:09:33
20000109,20000576,2013-07-02 16:09:39
20000373,20000576,2013-07-02 16:09:54
20000188,20000356,2013-07-02 16:11:24
20000100,20000525,2013-07-02 16:11:38
20000160,20000352,2013-07-02 16:12:05
20000100,20000327,2013-07-02 16:13:07
20000006,20000109,2013-07-02 16:13:44
20000333,20000356,2013-07-02 16:13:52
20000006,20000160,2013-07-02 16:15:03
20000658,20000685,2013-07-02 16:16:17
20000347,20000431,2013-07-02 16:44:37
20000010,20000156,2013-07-02 16:54:59
20000083,20000285,2013-07-02 16:57:11
20000144,20000521,2013-07-02 17:07:57
20000076,20000083,2013-07-02 17:08:31
20000409,20000671,2013-07-02 17:09:42
20000157,20000653,2013-07-02 17:09:51
20000239,20000610,2013-07-02 17:20:57
20000050,20000189,2013-07-02 17:22:54
20000198,20000665,2013-07-02 17:28:57
20000050,20000621,2013-07-02 17:31:25
20000086,20000577,2013-07-02 17:40:10
20000397,20000674,2013-07-02 17:53:29
20000255,20000586,2013-07-02 17:56:09
20000326,20000586,2013-07-02 17:59:24
20000051,20000678,2013-07-02 18:01:45
20000328,20000525,2013-07-02 18:04:48
20000309,20000472,2013-07-02 18:06:00
20000328,20000561,2013-07-02 18:07:49
20000128,20000258,2013-07-02 18:08:54
20000128,20000410,2013-07-02 18:10:09
20000031,20000343,2013-07-02 18:13:52
20000258,20000410,2013-07-02 18:15:09
20000509,20000589,2013-07-02 18:17:28
20000085,20000904,2013-07-02 18:23:53
20000257,20000667,2013-07-02 18:30:13
20000120,20000189,2013-07-02 18:33:09
20000120,20000391,2013-07-02 18:34:13
20000065,20000190,2013-07-02 18:34:35
20000352,20000409,2013-07-02 18:42:29
20000256,20000419,2013-07-02 18:52:04
20000146,20000148,2013-07-02 18:54:13
20000093,20000486,2013-07-02 19:04:55
20000093,20000314,2013-07-02 19:05:55
20000160,20000632,2013-07-02 19:19:42
20000190,20000343,2013-07-02 19:44:50
20000276,20000454,2013-07-02 19:50:53
20000177,20000273,2013-07-02 20:04:15
20000140,20000481,2013-07-02 20:19:44
20000107,20000497,2013-07-02 20:35:15
20000334,20000525,2013-07-02 20:50:31
20000525,20000560,2013-07-02 20:52:16
20000325,20000589,2013-07-02 22:15:25
20000395,20000453,2013-07-02 22:53:42
20000436,20000446,2013-07-02 23:07:52
20000309,20000370,2013-07-02 23:08:35
20000307,20000309,2013-07-02 23:50:30
20000304,20000601,2013-07-03 00:02:10
20000600,20000618,2013-07-03 00:04:48
20000372,20000663,2013-07-03 01:01:14
20000304,20000671,2013-07-03 01:23:56
20000304,20000596,2013-07-03 01:25:58
20000153,20000304,2013-07-03 02:30:13
20000140,20000171,2013-07-03 03:05:27
20000328,20000435,2013-07-03 03:16:01
20000307,20000624,2013-07-03 03:34:18
20000305,20000434,2013-07-03 03:35:46
20000154,20000370,2013-07-03 03:42:04
20000305,20000307,2013-07-03 03:42:33
20000173,20000657,2013-07-03 04:06:25
20000195,20000483,2013-07-03 04:40:28
20000304,20000904,2013-07-03 05:43:57
20000136,20000602,2013-07-03 06:49:30
20000486,20000904,2013-07-03 06:52:55
20000011,20000359,2013-07-03 07:01:23
20000118,20000620,2013-07-03 07:24:38
20000051,20000503,2013-07-03 07:25:59
20000515,20000904,2013-07-03 07:29:41
20000554,20000904,2013-07-03 07:36:26
20000113,20000625,2013-07-03 07:47:22
20000199,20000386,2013-07-03 07:48:10
20000180,20000419,2013-07-03 08:05:33
20000094,20000486,2013-07-03 08:12:42
20000257,20000430,2013-07-03 08:17:02
20000172,20000384,2013-07-03 08:22:59
20000021,20000163,2013-07-03 08:40:17
20000315,20000674,2013-07-03 08:53:30
20000109,20000315,2013-07-03 08:54:46
20000177,20000561,2013-07-03 08:58:11
20000281,20000542,2013-07-03 09:00:07
20000419,20000616,2013-07-03 09:05:43
20000118,20000604,2013-07-03 09:05:51
20000036,20000118,2013-07-03 09:12:04
20000452,20000523,2013-07-03 09:12:33
20000196,20000217,2013-07-03 09:14:18
20000347,20000360,2013-07-03 09:27:25
20000224,20000454,2013-07-03 09:31:37
20000303,20000663,2013-07-03 09:37:50
20000276,20000525,2013-07-03 09:37:58
20000460,20000588,2013-07-03 09:44:08
20000460,20000525,2013-07-03 09:45:08
20000160,20000684,2013-07-03 09:45:23
20000152,20000525,2013-07-03 09:49:28
20000007,20000109,2013-07-03 09:50:54
20000251,20000515,2013-07-03 09:51:35
20000285,20000904,2013-07-03 09:51:38
20000273,20000665,2013-07-03 09:51:42
20000591,20000680,2013-07-03 09:54:46
20000325,20000675,2013-07-03 09:57:14
20000093,20000576,2013-07-03 10:00:13
20000623,20000662,2013-07-03 10:01:19
20000180,20000429,2013-07-03 10:04:58
20000249,20000334,2013-07-03 10:08:12
20000151,20000271,2013-07-03 10:08:53
20000077,20000352,2013-07-03 10:22:30
20000497,20000562,2013-07-03 10:31:43
20000083,20000342,2013-07-03 10:35:44
20000268,20000329,2013-07-03 10:37:43
20000057,20000328,2013-07-03 10:51:41
20000053,20000494,2013-07-03 10:53:42
20000042,20000053,2013-07-03 10:54:16
20000289,20000458,2013-07-03 11:02:17
20000289,20000429,2013-07-03 11:02:29
20000289,20000623,2013-07-03 11:03:17
20000245,20000360,2013-07-03 11:04:06
20000359,20000480,2013-07-03 11:07:26
20000324,20000617,2013-07-03 11:08:38
20000257,20000361,2013-07-03 11:11:46
20000448,20000625,2013-07-03 11:18:47
20000579,20000632,2013-07-03 11:44:09
20000093,20000327,2013-07-03 11:46:14
20000093,20000352,2013-07-03 11:54:14
20000541,20000674,2013-07-03 12:01:29
20000007,20000140,2013-07-03 12:01:55
20000648,20000653,2013-07-03 12:12:03
20000007,20000077,2013-07-03 12:13:09
20000307,20000589,2013-07-03 12:45:32
20000359,20000403,2013-07-03 12:46:54
20000314,20000398,2013-07-03 12:55:54
20000560,20000600,2013-07-03 13:01:13
20000261,20000600,2013-07-03 13:01:25
20000105,20000436,2013-07-03 13:20:13
20000325,20000605,2013-07-03 13:37:47
20000458,20000541,2013-07-03 13:38:16
20000258,20000440,2013-07-03 13:45:22
20000040,20000068,2013-07-03 14:08:52
20000356,20000436,2013-07-03 14:09:43
20000005,20000229,2013-07-03 14:12:16
20000255,20000616,2013-07-03 14:15:50
20000140,20000160,2013-07-03 14:16:35
20000093,20000281,2013-07-03 14:17:16
20000160,20000217,2013-07-03 14:19:08
20000669,20000697,2013-07-03 14:19:13
20000669,20000674,2013-07-03 14:24:47
20000126,20000515,2013-07-03 14:29:24
20000460,20000589,2013-07-03 14:43:15
20000249,20000640,2013-07-03 14:53:12
20000285,20000398,2013-07-03 15:13:35
20000190,20000529,2013-07-03 15:27:29
20000268,20000606,2013-07-03 15:28:31
20000198,20000352,2013-07-03 15:42:59
20000305,20000324,2013-07-03 15:55:02
20000006,20000435,2013-07-03 16:06:45
20000137,20000177,2013-07-03 16:08:00
20000400,20000617,2013-07-03 16:08:05
20000084,20000589,2013-07-03 16:12:59
20000118,20000356,2013-07-03 16:13:38
20000085,20000667,2013-07-03 16:16:42
20000315,20000319,2013-07-03 16:22:35
20000174,20000271,2013-07-03 16:22:57
20000184,20000527,2013-07-03 16:24:35
20000023,20000343,2013-07-03 16:33:03
20000524,20000541,2013-07-03 16:43:08
20000426,20000524,2013-07-03 16:48:39
20000092,20000611,2013-07-03 16:49:21
20000010,20000197,2013-07-03 16:50:01
20000352,20000546,2013-07-03 16:51:08
20000086,20000360,2013-07-03 16:59:57
20000189,20000697,2013-07-03 17:06:17
20000118,20000608,2013-07-03 17:08:22
20000054,20000179,2013-07-03 17:09:02
20000285,20000576,2013-07-03 17:13:27
20000114,20000576,2013-07-03 17:13:32
20000230,20000520,2013-07-03 17:23:14
20000195,20000576,2013-07-03 17:24:13
20000080,20000273,2013-07-03 17:26:23
20000148,20000352,2013-07-03 17:39:34
20000039,20000497,2013-07-03 17:45:48
20000254,20000547,2013-07-03 17:48:00
20000482,20000571,2013-07-03 17:57:23
20000093,20000678,2013-07-03 17:58:30
20000093,20000468,2013-07-03 17:59:00
20000101,20000460,2013-07-03 18:05:05
20000095,20000506,2013-07-03 18:05:45
20000092,20000144,2013-07-03 18:18:45
20000022,20000076,2013-07-03 18:22:26
20000250,20000516,2013-07-03 18:22:30
20000250,20000514,2013-07-03 18:24:46
20000048,20000074,2013-07-03 18:27:28
20000235,20000288,2013-07-03 18:28:01
20000216,20000611,2013-07-03 18:29:59
20000410,20000542,2013-07-03 18:34:12
20000341,20000663,2013-07-03 18:35:28
20000328,20000621,2013-07-03 18:39:01
20000074,20000520,2013-07-03 18:41:02
20000026,20000367,2013-07-03 18:47:57
20000111,20000668,2013-07-03 18:49:14
20000038,20000687,2013-07-03 18:54:44
20000370,20000687,2013-07-03 19:00:27
20000436,20000495,2013-07-03 19:00:46
20000206,20000372,2013-07-03 19:01:10
20000157,20000372,2013-07-03 19:03:25
20000101,20000157,2013-07-03 19:04:20
20000006,20000549,2013-07-03 19:13:07
20000009,20000600,2013-07-03 19:16:56
20000077,20000281,2013-07-03 19:26:24
20000254,20000685,2013-07-03 19:36:42
20000481,20000681,2013-07-03 19:52:28
20000005,20000111,2013-07-03 19:57:18
20000492,20000678,2013-07-03 19:57:26
20000403,20000492,2013-07-03 19:58:26
20000403,20000435,2013-07-03 20:06:15
20000154,20000173,2013-07-03 20:12:05
20000548,20000617,2013-07-03 20:12:13
20000360,20000540,2013-07-03 20:24:23
20000254,20000276,2013-07-03 20:35:12
20000005,20000058,2013-07-03 20:57:07
20000426,20000648,2013-07-03 20:57:15
20000111,20000525,2013-07-03 20:57:57
20000026,20000525,2013-07-03 20:59:57
20000173,20000524,2013-07-03 21:09:03
20000157,20000276,2013-07-03 21:09:39
20000050,20000616,2013-07-03 21:17:21
20000571,20000618,2013-07-03 21:22:59
20000381,20000542,2013-07-03 21:29:22
20000367,20000601,2013-07-03 21:35:03
20000215,20000305,2013-07-03 21:45:27
20000167,20000488,2013-07-03 21:55:38
20000108,20000363,2013-07-03 22:09:59
20000305,20000620,2013-07-03 22:13:40
20000344,20000601,2013-07-03 22:17:03
20000341,20000626,2013-07-03 22:45:54
20000320,20000492,2013-07-03 22:55:30
20000101,20000517,2013-07-03 22:56:04
20000347,20000610,2013-07-03 23:04:45
20000179,20000695,2013-07-03 23:32:01
20000263,20000273,2013-07-03 23:54:01
20000338,20000392,2013-07-03 23:54:43
20000451,20000514,2013-07-04 00:29:53
20000304,20000684,2013-07-04 00:41:02
20000359,20000435,2013-07-04 01:04:54
20000600,20000633,2013-07-04 01:33:51
20000406,20000504,2013-07-04 01:48:21
20000161,20000483,2013-07-04 01:59:00
20000392,20000678,2013-07-04 01:59:01
20000136,20000686,2013-07-04 02:07:26
20000005,20000345,2013-07-04 02:14:09
20000434,20000649,2013-07-04 03:21:16
20000308,20000333,2013-07-04 03:26:08
20000435,20000436,2013-07-04 03:45:19
20000235,20000403,2013-07-04 04:03:19
20000527,20000633,2013-07-04 04:54:48
20000263,20000338,2013-07-04 05:14:47
20000325,20000331,2013-07-04 06:06:06
20000269,20000450,2013-07-04 06:45:13
20000188,20000271,2013-07-04 07:37:50
20000159,20000429,2013-07-04 07:38:01
20000136,20000507,2013-07-04 07:43:50
20000252,20000458,2013-07-04 07:44:16
20000084,20000276,2013-07-04 07:45:06
20000015,20000256,2013-07-04 07:50:15
20000007,20000333,2013-07-04 07:50:55
20000086,20000288,2013-07-04 07:52:26
20000383,20000470,2013-07-04 07:57:40
20000051,20000648,2013-07-04 07:58:51
20000429,20000487,2013-07-04 08:03:34
20000361,20000576,2013-07-04 08:06:41
20000576,20000663,2013-07-04 08:09:10
20000576,20000578,2013-07-04 08:10:56
20000166,20000571,2013-07-04 08:12:38
20000247,20000384,2013-07-04 08:17:55
20000092,20000353,2013-07-04 08:33:18
20000099,20000669,2013-07-04 08:39:20
20000352,20000463,2013-07-04 08:50:39
20000093,20000140,2013-07-04 08:50:53
20000386,20000692,2013-07-04 08:51:21
20000623,20000692,2013-07-04 08:51:36
20000109,20000692,2013-07-04 08:52:37
20000460,20000472,2013-07-04 08:52:47
20000008,20000196,2013-07-04 08:57:56
20000207,20000571,2013-07-04 09:16:18
20000032,20000453,2013-07-04 09:26:15
20000344,20000680,2013-07-04 09:29:22
20000045,20000049,2013-07-04 09:32:09
20000032,20000597,2013-07-04 09:33:41
20000344,20000625,2013-07-04 09:39:22
20000010,20000013,2013-07-04 09:40:12
20000199,20000693,2013-07-04 09:41:48
20000345,20000693,2013-07-04 09:43:18
20000017,20000693,2013-07-04 09:43:48
20000153,20000463,2013-07-04 09:46:48
20000561,20000658,2013-07-04 10:03:16
20000093,20000671,2013-07-04 10:03:44
20000008,20000226,2013-07-04 10:06:35
20000129,20000560,2013-07-04 10:09:17
20000271,20000305,2013-07-04 10:14:07
20000040,20000242,2013-07-04 10:19:23
20000480,20000554,2013-07-04 10:19:36
20000495,20000516,2013-07-04 10:21:34
20000152,20000455,2013-07-04 10:26:51
20000319,20000495,2013-07-04 10:26:52
20000319,20000516,2013-07-04 10:27:04
20000146,20000395,2013-07-04 10:31:39
20000140,20000391,2013-07-04 10:34:41
20000539,20000904,2013-07-04 10:35:17
20000486,20000619,2013-07-04 10:38:59
20000448,20000682,2013-07-04 10:45:41
20000163,20000588,2013-07-04 10:45:57
20000126,20000682,2013-07-04 10:50:00
20000098,20000446,2013-07-04 10:52:24
20000050,20000620,2013-07-04 10:58:15
20000337,20000377,2013-07-04 10:58:24
20000051,20000554,2013-07-04 11:02:25
20000388,20000903,2013-07-04 11:12:01
20000288,20000562,2013-07-04 11:24:52
20000633,20000692,2013-07-04 11:30:25
20000384,20000560,2013-07-04 11:32:30
20000128,20000159,2013-07-04 11:37:00
20000308,20000612,2013-07-04 11:50:03
20000254,20000576,2013-07-04 11:52:20
20000281,20000576,2013-07-04 11:52:20
20000254,20000281,2013-07-04 11:52:25
20000021,20000576,2013-07-04 11:52:35
20000021,20000254,2013-07-04 11:52:37
20000426,20000561,2013-07-04 11:53:21
20000334,20000561,2013-07-04 11:54:36
20000576,20000671,2013-07-04 11:56:04
20000199,20000672,2013-07-04 11:57:28
20000435,20000648,2013-07-04 12:00:59
20000199,20000668,2013-07-04 12:03:28
20000199,20000588,2013-07-04 12:11:40
20000276,20000327,2013-07-04 12:13:04
20000388,20000465,2013-07-04 12:13:06
20000080,20000233,2013-07-04 12:21:21
20000131,20000305,2013-07-04 12:30:23
20000305,20000506,2013-07-04 12:31:24
20000349,20000521,2013-07-04 12:34:02
20000541,20000680,2013-07-04 12:35:36
20000391,20000594,2013-07-04 12:47:28
20000105,20000617,2013-07-04 12:56:43
20000280,20000503,2013-07-04 12:56:56
20000006,20000367,2013-07-04 13:04:05
20000186,20000258,2013-07-04 13:12:55
20000331,20000540,2013-07-04 13:14:15
20000136,20000372,2013-07-04 13:27:42
20000268,20000304,2013-07-04 13:28:36
20000114,20000682,2013-07-04 13:34:10
20000285,20000286,2013-07-04 13:36:49
20000120,20000653,2013-07-04 13:42:51
20000018,20000151,2013-07-04 13:45:30
20000361,20000516,2013-07-04 14:00:56
20000252,20000640,2013-07-04 14:01:10
20000267,20000352,2013-07-04 14:01:15
20000386,20000576,2013-07-04 14:06:29
20000303,20000515,2013-07-04 14:08:38
20000100,20000464,2013-07-04 14:10:35
20000391,20000488,2013-07-04 14:16:00
20000178,20000602,2013-07-04 14:17:40
20000163,20000408,2013-07-04 14:19:24
20000189,20000616,2013-07-04 14:40:38
20000054,20000171,2013-07-04 14:42:46
20000514,20000674,2013-07-04 14:45:14
20000263,20000668,2013-07-04 15:02:15
20000047,20000678,2013-07-04 15:09:32
20000148,20000527,2013-07-04 15:19:45
20000180,20000256,2013-07-04 15:20:58
20000105,20000448,2013-07-04 15:21:16
20000174,20000226,2013-07-04 15:37:20
20000084,20000539,2013-07-04 15:39:31
20000101,20000616,2013-07-04 15:49:41
